Mikor emelte hivatalosan is közösségi szintre a regionális politikát az Egységes Európai Okmány?,1987-ben.
Melyik szerződés hozta létre a Kohéziós Alapot 1993-ban?,A Maastrichti Szerződés.
Mi a gazdasági és társadalmi kohéziós politika lényege?,"Egy adott régió fejlesztési igényének megoldása a nagyobb közösség gazdasági és társadalmi kohéziójának erősítésével, a régió felzárkóztatásával."
Hogyan viszonyul a strukturális politika a regionális politikához?,"A strukturális politika a regionális politika kiszolgálója, mivel a regionális célokat a strukturális alapokból finanszírozott intézkedésekkel valósítják meg."
Mi az EU regionális politikájának fő célja?,"A fejlődésben elmaradó régiók támogatásával a teljes Közösség jólétének növelése, a régiók közötti különbségek csökkentése."
"Nevezzen meg öt fő területet, ahol az EU regionális politikája hozzájárul a fejlődéshez!","Munkaerőpiachoz való hozzáférés, KKV-k támogatása, kutatás és innováció, üzleti környezet javítása, valamint közlekedés és energiatermelés korszerűsítése."
Mit jelent a partnerség elve az EU regionális politikájában?,"Az uniós regionális politika megvalósításában részt vevő szereplők (pl. Európai Bizottság, tagállamok, önkormányzatok) közötti együttműködést."
Mit takar az addicionalitás alapelve a regionális politikában?,"A strukturális támogatások megosztásának kötelezettségét, amelyben a régiónak, tagországnak és a Közösségnek is részt kell vállalnia."
Mit jelent a koncentráció elve a strukturális politikákban?,"Azt, hogy a strukturális célok meghatározott területeken vagy tevékenységek érdekében valósulnak meg."
A szubszidiaritás elve szerint milyen szinten kell a hatásköröket gyakorolni?,"A polgárokhoz legközelebb eső, legalacsonyabb közigazgatási szinten."
Mit értünk programozás alatt a strukturális politikák esetében?,"A támogatások nem automatikusan, hanem előre meghatározott programok alapján kerülnek kifizetésre."
Mi a monetáris politika definíciója?,"Gazdaságpolitikai tevékenység, melynek során a monetáris hatóság a pénzkínálaton és kamatszabályozáson keresztül befolyásolja a gazdasági folyamatokat."
Melyik a monetáris politikáért felelős legfőbb állami intézmény a legtöbb országban?,"A központi bank, vagy más néven jegybank."
Nevezze meg a monetáris politika három legfontosabb eszközét!,"Nyíltpiaci műveletek, jegybanki hitelezés és a kötelező tartalékráta politika."
Mi a jegybank elsődleges célja?,Az árstabilitás elérése és fenntartása.
Mikor állították vissza Magyarországon a kétszintű bankrendszert?,1987-ben.
Melyik két szintből áll a kétszintű bankrendszer?,"Az első szinten a jegybank, a másodikon a kereskedelmi bankok állnak."
Mi a jegybank kamatfolyosójának legfőbb funkciója?,A bankközi pénzpiaci kamatingadozás mérséklése.
Nevezze meg a kereskedelmi bankok tevékenységével kapcsolatos hármas követelményt!,"A biztonság, a likviditás és a jövedelmezőség."
Milyen marketing stratégiát alkalmaznak a termék életciklusának piaci bevezetési szakaszában?,"A potenciális vevők figyelmének felkeltése, az alkalmazástól elvárható előnyök hangsúlyozásával, lefölözéses vagy bevezető árstratégiával."
Mi a fő cél a termék életciklusának érettségi szakaszában?,"Nemcsak az eladások növelése, hanem a termékhez kapcsolódó szolgáltatások fejlesztése, új piacok feltárása és a költséganalízis."
Melyik két paramétert veszi figyelembe a BCG mátrix a termékek elemzésekor?,A piaci növekedés ütemét és a relatív piaci részesedést.
"Melyik kategóriába tartoznak a BCG mátrixban a gyors növekedésű, de alacsony piaci részesedésű termékek?",Kérdőjelek.
"Melyik kategóriába tartoznak a BCG mátrixban a lassú növekedésű, de nagy piaci részesedésű termékek?",Fejőstehenek.
A BCG mátrix melyik kategóriája felel meg a termék életgörbe növekedési szakaszának?,Sztárok.
A BCG mátrix melyik kategóriája felel meg a termék életgörbe hanyatlási szakaszának?,Döglött kutyák.
Mi az üzleti ötletek szűrésének elsődleges célja?,"A rossz ötletektől való mielőbbi megszabadulás, mivel a termékfejlesztési költségek a fejlesztési szakaszokban jelentősen nőnek."
A brainstorming egy _____ ötletgyűjtési módszer.,csoportos
"Mit jelent, ha egy termék vagy szolgáltatás piacképes?","Azt jelenti, hogy valóságos, létező vagy felkelthető vevői igényt elégít ki, amelyre ismétlődő fizetőképes kereslet várható."
"Mit jelent, ha egy termék vagy szolgáltatás versenyképes?","Azt jelenti, hogy a várható versenytársak ellenére eladható, mert minőségben, árban vagy más szempontból kedvezőbb."
Mit jelent az üzletképesség egy üzleti ötlet értékelésekor?,"Azt, hogy a termékkel vagy szolgáltatással nyereséget lehet elérni, és a szükséges tőke, erőforrás rendelkezésre áll vagy megszerezhető."
